"filename", "language", "TypeScript", "Markdown", "JavaScript", "CSS", "TypeScript JSX", "SCSS", "JSON with Comments", "Python", "JSON", "YAML", "Ignore", "Docker", "Shell Script", "comment", "blank", "total"
"/Users/levi/Documents/Code/createwithlevi/docs/tags/plugin.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/levi/Documents/Code/createwithlevi/docs/upgrading.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/levi/Documents/Code/createwithlevi/globals.d.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/levi/Documents/Code/createwithlevi/images.py", "Python", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 9, 12, 61
"/Users/levi/Documents/Code/createwithlevi/index.d.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"/Users/levi/Documents/Code/createwithlevi/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 8134, 0, 0, 0, 0, 0, 1, 8135
"/Users/levi/Documents/Code/createwithlevi/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 1, 116
"/Users/levi/Documents/Code/createwithlevi/quartz.config.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 96
"/Users/levi/Documents/Code/createwithlevi/quartz.layout.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 51
"/Users/levi/Documents/Code/createwithlevi/quartz/bootstrap-cli.mjs", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"/Users/levi/Documents/Code/createwithlevi/quartz/bootstrap-worker.mjs", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/levi/Documents/Code/createwithlevi/quartz/build.ts", "TypeScript", 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 67, 423
"/Users/levi/Documents/Code/createwithlevi/quartz/cfg.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 98
"/Users/levi/Documents/Code/createwithlevi/quartz/cli/args.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 109
"/Users/levi/Documents/Code/createwithlevi/quartz/cli/constants.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 16
"/Users/levi/Documents/Code/createwithlevi/quartz/cli/handlers.js", "JavaScript", 0, 0, 471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 50, 577
"/Users/levi/Documents/Code/createwithlevi/quartz/cli/helpers.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"/Users/levi/Documents/Code/createwithlevi/quartz/components/ArticleTitle.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Backlinks.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 53
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Body.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Breadcrumbs.tsx", "TypeScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 27, 19, 140
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Comments.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 61
"/Users/levi/Documents/Code/createwithlevi/quartz/components/ContentMeta.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 59
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Darkmode.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 51
"/Users/levi/Documents/Code/createwithlevi/quartz/components/DarkmodeLanguageGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 47
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Date.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/levi/Documents/Code/createwithlevi/quartz/components/DesktopOnly.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Explorer.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 129
"/Users/levi/Documents/Code/createwithlevi/quartz/components/ExplorerNode.tsx", "TypeScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 34, 27, 243
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Graph.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 107
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Head.tsx", "TypeScript JSX", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 23, 28, 210
"/Users/levi/Documents/Code/createwithlevi/quartz/components/Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
